Anonymized_Student_ID,Exam_1,Exam_2,Exam_3,Final_exam,E1,E2,E3,FINAL,Course_Grade,C_and_below,Group,Firstgen_Adm,Ethnicity,Gender,Pell,AR,Onetest,STEM_AP_Count
18tLoPdtsgxQe26UrArDbjMVbJQfzMZx87,99,19,70,65,A,D,D,A,D,C_and_Above,Control,Not_Firstgen,Not_White,Female,Not_Pell,Above_5,Below_1380,More_then_2_pass
1ADMkNqFB6gt7NYKY9SCq2f9sEM4B8tTJx,93,10,10,27,C,A,B,F,B,C_and_Below,Scholars,Firstgen,White,Male,Pell,Below_5,Below_1380,Less_then_2_pass
15vwC6LCXCTMSu4aQpV3zSMYp59AxW7NQe,21,28,94,51,F,A,C,A,F,C_and_Below,Control,Not_Firstgen,Not_White,Male,Not_Pell,Below_5,Above_1380,More_then_2_pass
1KW7Xw6vGzTiWJRPMPPgjt8mc2XBWf1Ah4,9,90,25,7,D,A,B,B,F,C_and_Below,Scholars,Firstgen,Not_White,Female,Not_Pell,Above_5,Below_1380,More_then_2_pass
1Mby9xW5jNzbeRcwAN3BeLMTaBeTwuv7GK,100,97,45,40,F,F,A,D,B,C_and_Above,Scholars,Not_Firstgen,White,Female,Pell,Above_5,Above_1380,Less_then_2_pass
1AW3HPkRojHn2qHxV9432jNJpnqa5kjM2f,58,65,67,45,B,B,C,B,B,C_and_Below,Control,Firstgen,White,Male,Not_Pell,Below_5,Above_1380,Less_then_2_pass
1PSwZFANke8pGmzsxSRQeizWwna8sK6JqX,90,49,36,80,F,D,B,F,A,C_and_Below,Scholars,Not_Firstgen,White,Female,Pell,Below_5,Above_1380,Less_then_2_pass
1HYPJwrwqWZhnotCVT6261p42UMKQ1ykau,31,47,55,31,D,A,B,B,A,C_and_Above,Control,Not_Firstgen,White,Male,Pell,Below_5,Below_1380,More_then_2_pass
18x2UeSov6GeC6VGsjUXuPV5uNyWNtefAH,44,36,71,9,B,B,D,A,C,C_and_Above,Regular,Firstgen,White,Male,Pell,Above_5,Above_1380,More_then_2_pass
1DY9hLQfLw2Q5Gsrp1Loswm3kXxqnyhZXX,42,14,16,60,F,B,C,A,F,C_and_Above,Scholars,Not_Firstgen,White,Female,Not_Pell,Above_5,Below_1380,Less_then_2_pass
185HW1Kf3hPsotNmyokP7k9TsyB3A2ScJT,76,68,19,15,C,A,B,F,B,C_and_Below,Scholars,Firstgen,White,Male,Not_Pell,Below_5,Below_1380,More_then_2_pass
1GFw8Upw6mb9GYyDSzTytt6ZnG6ATwjevq,90,35,17,59,D,F,C,B,A,C_and_Above,Control,Firstgen,Not_White,Female,Not_Pell,Above_5,Below_1380,Less_then_2_pass
12YAcV5G95hhLtgoK28AeNXwxUcT6dstwM,61,54,70,95,A,A,C,A,A,C_and_Above,Regular,Firstgen,Not_White,Female,Not_Pell,Below_5,Above_1380,Less_then_2_pass
1LHTDiSbzF8Gi3q2Rx3pbLFkEAVMabSVDi,5,6,75,79,D,D,B,B,F,C_and_Above,Scholars,Not_Firstgen,Not_White,Male,Pell,Above_5,Below_1380,Less_then_2_pass
1H4mgiqCiiMtU4Mfo2zJsHPMKRBiNiHtuX,63,1,28,49,C,B,F,F,D,C_and_Below,Scholars,Firstgen,Not_White,Female,Not_Pell,Below_5,Below_1380,More_then_2_pass
1PoCDyiNvrgvAGjhHJ29JfYVE6BSf5HL8y,78,29,86,70,A,D,F,D,B,C_and_Below,Regular,Not_Firstgen,Not_White,Female,Pell,Below_5,Below_1380,Less_then_2_pass
14SLMNNHSTaH8ir48WUnLQ61ASV5vEtxbE,43,42,92,43,D,A,D,B,F,C_and_Below,Scholars,Firstgen,White,Male,Pell,Below_5,Below_1380,Less_then_2_pass
17mywKmhEBMwUJfQHSHTy5aK1E9omMt3NQ,47,70,12,54,F,A,D,C,D,C_and_Below,Scholars,Firstgen,White,Male,Pell,Above_5,Above_1380,Less_then_2_pass
16hEyTRhAma7Givm3TQdRGDLT1AuraGKsn,17,83,76,99,B,A,D,D,F,C_and_Below,Scholars,Not_Firstgen,Not_White,Female,Not_Pell,Below_5,Above_1380,Less_then_2_pass
18S7SiSxkAYGgveWFfKi9Wa7UcTQHe9MdL,100,7,84,33,A,A,F,B,C,C_and_Below,Scholars,Firstgen,White,Male,Not_Pell,Below_5,Above_1380,Less_then_2_pass
1FYBRN8RFXGzBYdP4RuPaTmvfcWL73wH3T,67,2,37,80,B,D,D,D,A,C_and_Below,Scholars,Firstgen,Not_White,Male,Pell,Below_5,Below_1380,More_then_2_pass
16DWzN9ZqwSvqZoHCpQ468s3sYsaP8J1CY,41,12,91,65,A,A,B,A,F,C_and_Below,Scholars,Firstgen,Not_White,Female,Not_Pell,Above_5,Above_1380,Less_then_2_pass
1A19Cnzj2bkp3Sta7rkxFM9Y1J9iKbfzJR,54,41,97,90,C,C,A,A,B,C_and_Below,Scholars,Firstgen,White,Male,Pell,Above_5,Above_1380,More_then_2_pass
1PXPyTJra9wwQ4jRikSrGmskUYUKtesp3P,27,3,41,81,A,B,F,B,B,C_and_Above,Control,Not_Firstgen,Not_White,Female,Pell,Below_5,Above_1380,Less_then_2_pass
1MsC8cozknR9dvSHj8oSiPDZCvHqpypGJL,22,41,68,83,C,C,C,A,D,C_and_Above,Control,Not_Firstgen,White,Female,Pell,Above_5,Above_1380,Less_then_2_pass
168LzNBhk3zP4V6gN2ADiL5akDJEDYPQJF,40,64,24,79,B,D,B,B,F,C_and_Above,Regular,Not_Firstgen,White,Female,Pell,Below_5,Below_1380,More_then_2_pass
1KXwuGsnofiQ2SJFVvRyi7NKWXajxNB8HV,38,34,82,74,A,C,B,A,C,C_and_Below,Regular,Not_Firstgen,Not_White,Male,Pell,Above_5,Above_1380,Less_then_2_pass
1Ph4SpiAWL3vmdXqLK982PuCb2z5wjRmBM,36,21,5,92,A,B,A,C,B,C_and_Above,Scholars,Firstgen,Not_White,Female,Not_Pell,Above_5,Above_1380,More_then_2_pass
126p2LGQS7xSSHBhusjhMSCABb55WV59BT,24,91,29,54,A,F,D,A,D,C_and_Below,Scholars,Not_Firstgen,White,Female,Pell,Below_5,Above_1380,More_then_2_pass
17XeZEZhxthdwXJkTMwajZ1YzZ4H25iMUy,88,70,89,86,B,A,A,C,F,C_and_Above,Scholars,Firstgen,Not_White,Female,Pell,Above_5,Below_1380,More_then_2_pass
1Pp9mpsDTqYd8fYKLbC7pRUKPneRFidGuT,11,67,53,27,C,A,D,D,D,C_and_Above,Control,Not_Firstgen,White,Female,Not_Pell,Below_5,Above_1380,Less_then_2_pass
1HnEN79XNyiykkbjxJf1tZBiyR89HXysew,50,81,64,71,B,B,F,C,F,C_and_Above,Scholars,Not_Firstgen,White,Male,Not_Pell,Above_5,Below_1380,Less_then_2_pass
1JLFFohoPA8Gyn3zs2DUpkoaaHsUGjEsQo,26,28,26,57,F,D,D,A,C,C_and_Above,Regular,Not_Firstgen,White,Male,Pell,Below_5,Above_1380,Less_then_2_pass
1HWeLdhAnrwD9FQvPWmXMbCD63zVerVgos,24,73,83,63,A,D,A,D,D,C_and_Above,Regular,Not_Firstgen,Not_White,Female,Pell,Below_5,Above_1380,Less_then_2_pass
14MYCW4Pnx4jx2Bn5ZXJ2BBjpTuedSS1qp,56,94,84,4,F,C,B,F,D,C_and_Below,Control,Firstgen,White,Male,Pell,Above_5,Below_1380,Less_then_2_pass
1NzFMQzDiGKTD3ZHSHnr4doTojgn74TYxQ,89,55,47,65,B,F,B,F,F,C_and_Above,Scholars,Not_Firstgen,White,Male,Pell,Below_5,Below_1380,More_then_2_pass
1EhreijnccZDdW52NgCnBdGd5ohRFTXFVd,97,91,41,26,A,B,B,D,C,C_and_Above,Regular,Firstgen,Not_White,Female,Not_Pell,Above_5,Below_1380,More_then_2_pass
1LcDoKPTSfSWR4DAWnsDAUmPmBNnW1fhMi,0,36,67,1,B,F,B,B,F,C_and_Below,Control,Not_Firstgen,White,Male,Pell,Above_5,Below_1380,Less_then_2_pass
1GSXUdtoXPNjFTwPBsWepn7mgeVdCvRufK,35,35,88,87,F,C,C,C,B,C_and_Above,Control,Firstgen,White,Female,Not_Pell,Above_5,Above_1380,More_then_2_pass
