Anonymized_Student_ID,Exam_1,Exam_2,Exam_3,Final_exam,E1,E2,E3,FINAL,Course_Grade,C_and_below,Group,Firstgen_Adm,Ethnicity,Gender,Pell,AR,Onetest,Stem_AP_Count
1FHubMyPyXhLTtFpNFKAA4EubxeYTvhXc5,64,55,65,89,C,F,C,F,C,C_and_Above,Regular,Not_Firstgen,Hispanic,Male,Not_Pell,Below_5,Above_1380,Less_Then_2_Pass
13kjqZqvsSQfKpgg6sbEyprRD9DpXUh7GF,79,8,58,50,C,F,B,D,B,C_and_Below,Regular,Not_Firstgen,Asian,Male,Not_Pell,Below_5,Above_1380,Less_Then_2_Pass
1CR3pEoXKxjfszrzd2xLjpqNMnfAm9S9TS,35,62,9,15,F,C,B,C,B,C_and_Above,Regular,Not_Firstgen,Asian,Female,Not_Pell,Below_5,Above_1380,Less_Then_2_Pass
1PtsH66dpK4FDJqGkbyVALZwrZAKK6xamo,20,89,37,42,A,B,D,B,F,C_and_Above,Regular,Not_Firstgen,Asian,Female,Not_Pell,Below_5,Above_1380,Less_Then_2_Pass
1DF7DnowomgHjfT9Y8xRXr3xGvwxgFZKuQ,32,57,67,51,A,B,A,D,C,C_and_Below,Regular,Not_Firstgen,Asian,Female,Not_Pell,Below_5,Above_1380,Less_Then_2_Pass
1MqgkviVDTFbw1wakjqWuLRoBtqL4gEXjf,95,74,58,21,A,C,D,F,C,C_and_Below,Regular,Not_Firstgen,Black,Male,Not_Pell,Below_5,Above_1380,Less_Then_2_Pass
18uVjSZcgRjgY379Eo1cp3aZLFt65xChXX,54,30,32,73,F,F,C,F,B,C_and_Below,Regular,Not_Firstgen,White,Male,Not_Pell,Below_5,Above_1380,Less_Then_2_Pass
1KJ7NhWjUMt9z6tQgiuBEJVqDxuxLExMmW,54,57,47,67,C,D,C,B,D,C_and_Above,Regular,Not_Firstgen,White,Female,Not_Pell,Below_5,Above_1380,Less_Then_2_Pass
1C7BLCxsmkSCKg1mu996u1cdWtFciQJEch,63,50,41,6,F,C,B,D,A,C_and_Below,Regular,Not_Firstgen,Asian,Male,Not_Pell,Below_5,Above_1380,Less_Then_2_Pass
12oT8LcR7dH9Y75ktifhAedRSJfQSFRFJ9,84,6,11,16,D,C,B,D,A,C_and_Below,Regular,Not_Firstgen,Hispanic,Female,Not_Pell,Below_5,Above_1380,Less_Then_2_Pass
1Bch1M8a4Zy8V8GxQMQCtU6cyPQQ6utq42,2,62,54,79,B,F,B,C,F,C_and_Above,Regular,Not_Firstgen,Hispanic,Male,Not_Pell,Below_5,Above_1380,Less_Then_2_Pass
18Ya8ShiYf2hDKuToPwFkG2Tbac3EpK5Qv,58,19,7,33,D,A,D,A,C,C_and_Above,Regular,Not_Firstgen,Hispanic,Male,Not_Pell,Below_5,Above_1380,Less_Then_2_Pass
1MeMEmDGTouuT9NzMueSz2HYGpAj26jtve,85,39,46,57,B,F,F,F,F,C_and_Below,Regular,Not_Firstgen,Asian,Female,Not_Pell,Below_5,Above_1380,Less_Then_2_Pass
14L9ipp5BEchC76rfFesGcoYsjt34f1gQ1,50,49,28,18,D,F,B,B,F,C_and_Below,Regular,Not_Firstgen,Black,Female,Not_Pell,Below_5,Above_1380,Less_Then_2_Pass
1GLgCuVWxXRNSdAoS1xETxqhSomHzZkvjL,1,67,74,81,C,B,D,F,D,C_and_Above,Regular,Not_Firstgen,White,Female,Not_Pell,Below_5,Above_1380,Less_Then_2_Pass
18Bve483KTgCo8skVxua1DJDz85H3aSzCt,58,87,57,30,A,C,F,C,A,C_and_Below,Regular,Not_Firstgen,White,Male,Not_Pell,Below_5,Above_1380,Less_Then_2_Pass
1FQQk6Rez5MPS17KpigeEsB91GXVrmDidk,60,47,72,49,D,D,B,D,F,C_and_Below,Regular,Not_Firstgen,White,Male,Not_Pell,Below_5,Above_1380,Less_Then_2_Pass
1JGfzpAUmEthfJXqmhNNi3Vs5ipWytFoKM,1,71,69,40,C,B,C,A,B,C_and_Above,Regular,Not_Firstgen,Hispanic,Male,Not_Pell,Below_5,Above_1380,Less_Then_2_Pass
1AYyABajoQ6fUpSuTAYM1r3BkQ2e9dtMd5,40,68,81,42,C,C,C,B,B,C_and_Below,Regular,Not_Firstgen,Asian,Female,Not_Pell,Below_5,Above_1380,Less_Then_2_Pass
13LDUJkFQXejn8ybVbPGdXfm8TLJUU1JxJ,14,8,55,23,D,F,A,B,A,C_and_Above,Regular,Not_Firstgen,Asian,Female,Not_Pell,Below_5,Above_1380,Less_Then_2_Pass
